date,district,rainfall_mm,river_level_m,temperature_c,humidity_pct,elevation_m,ndvi,soil_moisture,days_since_last_flood,flood_occurred,flood_severity,rainfall_7day_cumsum,rainfall_30day_cumsum,api,river_rise_rate,rainfall_river_interaction,is_monsoon,month_sin,month_cos,rainfall_intensity,flood_risk_index,seasonal_risk
2019-01-01,Barpeta,0.0,5.24,16.9,49.3,35.9,0.278,0.338,181,0,0,0.0,0.0,0.0,0.0,0.0,0,0.49999999999999994,0.8660254037844387,0.0,0.0,0.0
2019-01-02,Barpeta,9.4,6.37,24.1,64.4,34.5,0.279,0.256,182,0,0,9.4,9.4,2.35,1.13,59.878,0,0.49999999999999994,0.8660254037844387,0.3745019920318725,59.878,0.0
2019-01-03,Barpeta,0.0,4.91,18.5,67.6,34.6,0.471,0.25,183,0,0,9.4,9.4,1.7625000000000002,-1.46,46.154,0,0.49999999999999994,0.8660254037844387,0.0,46.154,0.0
2019-01-04,Barpeta,0.0,5.33,18.7,34.5,35.3,0.592,0.261,184,0,0,9.4,9.4,1.3218750000000001,0.41999999999999993,50.102000000000004,0,0.49999999999999994,0.8660254037844387,0.0,50.102000000000004,0.0
2019-01-05,Barpeta,0.0,5.58,14.8,58.6,33.3,0.488,0.316,185,0,0,9.4,9.4,0.99140625,0.25,52.452000000000005,0,0.49999999999999994,0.8660254037844387,0.0,52.452000000000005,0.0
2019-01-06,Barpeta,7.4,5.33,20.7,44.4,35.6,0.483,0.365,186,0,0,16.8,16.8,2.5935546875,-0.25,89.54400000000001,0,0.49999999999999994,0.8660254037844387,0.34101382488479265,89.54400000000001,0.0
2019-01-07,Barpeta,2.5,5.55,18.2,41.5,35.0,0.182,0.34,187,0,0,19.3,19.3,2.5701660156250004,0.21999999999999975,107.115,0,0.49999999999999994,0.8660254037844387,0.13020833333333334,107.115,0.0
2019-01-08,Barpeta,0.0,5.05,9.8,50.4,36.2,0.628,0.327,188,0,0,19.3,19.3,1.9276245117187503,-0.5,97.465,0,0.49999999999999994,0.8660254037844387,0.0,97.465,0.0
2019-01-09,Barpeta,0.0,5.43,17.7,51.3,34.7,0.455,0.405,189,0,0,9.9,19.3,1.4457183837890626,0.3799999999999999,53.757,0,0.49999999999999994,0.8660254037844387,0.0,53.757,0.0
2019-01-10,Barpeta,0.0,5.07,18.3,48.0,35.3,0.497,0.145,190,0,0,9.9,19.3,1.084288787841797,-0.35999999999999943,50.193000000000005,0,0.49999999999999994,0.8660254037844387,0.0,50.193000000000005,0.0
2019-01-11,Barpeta,0.0,5.27,19.6,49.9,36.3,0.424,0.248,191,0,0,9.9,19.3,0.8132165908813478,0.1999999999999993,52.172999999999995,0,0.49999999999999994,0.8660254037844387,0.0,52.172999999999995,0.0
2019-01-12,Barpeta,0.0,5.63,15.5,73.7,35.5,0.487,0.086,192,0,0,9.9,19.3,0.6099124431610108,0.3600000000000003,55.737,0,0.49999999999999994,0.8660254037844387,0.0,55.737,0.0
2019-01-13,Barpeta,7.4,5.14,14.8,43.2,34.6,0.474,0.182,193,0,0,9.9,26.700000000000003,2.3074343323707582,-0.4900000000000002,50.885999999999996,0,0.49999999999999994,0.8660254037844387,0.46835443037974683,50.885999999999996,0.0
2019-01-14,Barpeta,0.0,5.53,19.6,71.3,34.4,0.409,0.311,194,0,0,7.4,26.700000000000003,1.7305757492780687,0.39000000000000057,40.922000000000004,0,0.49999999999999994,0.8660254037844387,0.0,40.922000000000004,0.0
2019-01-15,Barpeta,0.0,4.64,21.9,41.7,34.6,0.495,0.131,195,0,0,7.4,26.700000000000003,1.2979318119585515,-0.8900000000000006,34.336,0,0.49999999999999994,0.8660254037844387,0.0,34.336,0.0
2019-01-16,Barpeta,5.3,5.61,18.7,62.7,35.4,0.466,0.48,196,0,0,12.7,32.0,2.2984488589689134,0.9700000000000006,71.247,0,0.49999999999999994,0.8660254037844387,0.26903553299492383,71.247,0.0
2019-01-17,Barpeta,0.0,4.89,16.3,42.9,34.7,0.476,0.322,197,0,0,12.7,32.0,1.723836644226685,-0.7200000000000006,62.102999999999994,0,0.49999999999999994,0.8660254037844387,0.0,62.102999999999994,0.0
2019-01-18,Barpeta,0.0,5.46,13.4,62.0,35.7,0.402,0.251,198,0,0,12.7,32.0,1.2928774831700138,0.5700000000000003,69.342,0,0.49999999999999994,0.8660254037844387,0.0,69.342,0.0
2019-01-19,Barpeta,6.1,5.78,16.8,50.1,35.2,0.424,0.305,199,0,0,18.8,38.1,2.4946581123775102,0.3200000000000003,108.66400000000002,0,0.49999999999999994,0.8660254037844387,0.3426966292134831,108.66400000000002,0.0
2019-01-20,Barpeta,0.0,5.36,20.2,64.2,34.6,0.471,0.35,200,0,0,11.399999999999999,38.1,1.8709935842831327,-0.41999999999999993,61.104,0,0.49999999999999994,0.8660254037844387,0.0,61.104,0.0
2019-01-21,Barpeta,0.0,5.43,21.3,42.3,35.0,0.451,0.214,201,0,0,11.399999999999999,38.1,1.4032451882123496,0.0699999999999994,61.90199999999999,0,0.49999999999999994,0.8660254037844387,0.0,61.90199999999999,0.0
2019-01-22,Barpeta,0.2,5.62,12.7,50.5,35.6,0.435,0.434,202,0,0,11.6,38.3,1.1024338911592622,0.1900000000000004,65.192,0,0.49999999999999994,0.8660254037844387,0.014598540145985403,65.192,0.0
2019-01-23,Barpeta,5.1,5.17,16.8,64.9,34.4,0.441,0.288,203,0,0,11.399999999999999,43.4,2.1018254183694465,-0.4500000000000002,58.937999999999995,0,0.49999999999999994,0.8660254037844387,0.28651685393258425,58.937999999999995,0.0
2019-01-24,Barpeta,0.0,5.59,13.8,46.7,35.3,0.397,0.256,204,0,0,11.399999999999999,43.4,1.5763690637770849,0.41999999999999993,63.72599999999999,0,0.49999999999999994,0.8660254037844387,0.0,63.72599999999999,0.0
2019-01-25,Barpeta,0.0,5.78,20.6,44.3,35.4,0.329,0.232,205,0,0,11.399999999999999,43.4,1.1822767978328137,0.1900000000000004,65.892,0,0.49999999999999994,0.8660254037844387,0.0,65.892,0.0
2019-01-26,Barpeta,0.0,5.03,17.4,72.9,34.4,0.499,0.132,206,0,0,5.3,43.4,0.8867075983746102,-0.75,26.659,0,0.49999999999999994,0.8660254037844387,0.0,26.659,0.0
2019-01-27,Barpeta,0.0,5.63,25.7,48.3,35.4,0.331,0.26,207,0,0,5.3,43.4,0.6650306987809577,0.5999999999999996,29.839,0,0.49999999999999994,0.8660254037844387,0.0,29.839,0.0
2019-01-28,Barpeta,0.0,5.5,17.6,37.5,34.8,0.532,0.243,208,0,0,5.3,43.4,0.4987730240857182,-0.1299999999999999,29.15,0,0.49999999999999994,0.8660254037844387,0.0,29.15,0.0
2019-01-29,Barpeta,0.0,5.4,14.1,64.7,34.2,0.48,0.278,209,0,0,5.1,43.4,0.37407976806428866,-0.09999999999999964,27.54,0,0.49999999999999994,0.8660254037844387,0.0,27.54,0.0
2019-01-30,Barpeta,0.0,5.93,17.3,70.8,35.5,0.529,0.306,0,1,3,0.0,43.4,0.2805598260482165,0.5299999999999994,0.0,0,0.49999999999999994,0.8660254037844387,0.0,0.0,0.0
2019-01-31,Barpeta,0.0,5.91,19.0,74.1,34.9,0.325,0.349,1,0,0,0.0,43.4,0.21041986953616237,-0.019999999999999574,0.0,0,0.49999999999999994,0.8660254037844387,0.0,0.0,0.0
2019-02-01,Barpeta,3.4,5.16,17.8,52.3,36.1,0.346,0.297,2,0,0,3.4,37.4,1.0078149021521217,-0.75,17.544,0,0.8660254037844386,0.5000000000000001,0.18085106382978722,17.544,0.0
2019-02-02,Barpeta,0.0,4.97,16.8,46.2,35.4,0.5,0.224,3,0,0,3.4,37.4,0.7558611766140912,-0.1900000000000004,16.898,0,0.8660254037844386,0.5000000000000001,0.0,16.898,0.0
2019-02-03,Barpeta,0.2,4.48,20.4,56.0,33.5,0.617,0.286,4,0,0,3.6,37.6,0.6168958824605685,-0.4899999999999993,16.128000000000004,0,0.8660254037844386,0.5000000000000001,0.009345794392523366,16.128000000000004,0.0
2019-02-04,Barpeta,0.0,5.39,19.9,61.6,35.2,0.481,0.319,5,0,0,3.6,37.6,0.46267191184542633,0.9099999999999993,19.404,0,0.8660254037844386,0.5000000000000001,0.0,19.404,0.0
2019-02-05,Barpeta,3.5,4.72,19.3,40.6,35.0,0.222,0.3,6,0,0,7.1,33.7,1.2220039338840698,-0.6699999999999999,33.51199999999999,0,0.8660254037844386,0.5000000000000001,0.17241379310344826,33.51199999999999,0.0
2019-02-06,Barpeta,0.0,4.77,21.9,68.8,35.3,0.617,0.199,7,0,0,7.1,31.2,0.9165029504130524,0.04999999999999982,33.867,0,0.8660254037844386,0.5000000000000001,0.0,33.867,0.0
2019-02-07,Barpeta,0.1,5.03,17.5,48.8,34.5,0.477,0.253,8,0,0,7.2,31.3,0.7123772128097893,0.2600000000000007,36.216,0,0.8660254037844386,0.5000000000000001,0.005405405405405406,36.216,0.0
2019-02-08,Barpeta,0.0,5.31,18.6,38.4,35.0,0.399,0.281,9,0,0,3.8000000000000003,31.3,0.5342829096073419,0.27999999999999936,20.178,0,0.8660254037844386,0.5000000000000001,0.0,20.178,0.0
